DATASET_TITLE,"Hospital Admissions: Summary Statistics, 2004/05",,,,,,FROM,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004
AREA_TYPE,Local Authority,,,,,,TO,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Finished Admission Episodes,Coronary Heart Disease (CHD); Diagnosis,Cerebrovascular Disease (including Stroke); Diagnosis,Cancer (excluding non-melanoma skin cancer); Diagnosis,Falls (basic accidental falls); External cause,Coronary Artery Bypass Graft (CABG) and Percutaneous Transluminal Coronary Angioplasty (PTCA); Operation,Hip Replacement; Operation,Knee Replacement; Operation,Cataract; Operation
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"D","Yorkshire and The Humber",,,"00FD","North Lincolnshire",,,40340,4981,461,6052,913,185,188,187,892
"D","Yorkshire and The Humber",,,"00FF","York",,,39418,3916,644,3110,1030,229,241,248,1138
"D","Yorkshire and The Humber","36","North Yorkshire","36UB","Craven",,,13463,821,253,1853,282,81,96,74,389
"D","Yorkshire and The Humber","36","North Yorkshire","36UC","Hambleton",,,21058,2016,301,2752,590,92,106,106,641
"D","Yorkshire and The Humber","36","North Yorkshire","36UD","Harrogate",,,34461,2891,711,4942,1034,158,246,183,996
"D","Yorkshire and The Humber","36","North Yorkshire","36UE","Richmondshire",,,11430,1009,157,1508,407,35,65,41,381
"D","Yorkshire and The Humber","36","North Yorkshire","36UF","Ryedale",,,9315,680,200,1095,290,70,112,81,397
"D","Yorkshire and The Humber","36","North Yorkshire","36UG","Scarborough",,,24505,1760,472,3041,688,192,251,180,792
"D","Yorkshire and The Humber","36","North Yorkshire","36UH","Selby",,,15557,1475,255,1420,345,120,119,145,324
"E","East Midlands",,,"00FK","Derby",,,57142,5573,774,6633,1788,210,289,310,1934
"E","East Midlands",,,"00FN","Leicester",,,73972,5073,1496,6129,1530,273,158,170,1385
"E","East Midlands",,,"00FP","Rutland",,,7390,552,173,754,217,39,39,48,219
"E","East Midlands",,,"00FY","Nottingham",,,59067,5010,1089,5531,1762,241,229,271,1611
"E","East Midlands","17","Derbyshire","17UB","Amber Valley",,,26523,2773,477,3493,927,106,164,169,885
"E","East Midlands","17","Derbyshire","17UC","Bolsover",,,18650,2111,319,2246,464,93,112,133,623
"E","East Midlands","17","Derbyshire","17UD","Chesterfield",,,25850,3176,435,3203,659,102,145,174,742
"E","East Midlands","17","Derbyshire","17UF","Derbyshire Dales",,,15569,1279,379,2127,549,70,135,99,461
"E","East Midlands","17","Derbyshire","17UG","Erewash",,,24208,2114,435,3407,874,116,174,191,774
"E","East Midlands","17","Derbyshire","17UH","High Peak",,,19325,1685,363,1715,691,99,83,119,576
"E","East Midlands","17","Derbyshire","17UJ","North East Derbyshire",,,23436,2664,456,3030,556,112,141,159,836
"E","East Midlands","17","Derbyshire","17UK","South Derbyshire",,,18006,1152,222,2367,465,88,114,119,539
"E","East Midlands","31","Leicestershire","31UB","Blaby",,,21851,1235,429,3401,432,94,93,71,341
"E","East Midlands","31","Leicestershire","31UC","Charnwood",,,32698,2217,726,4348,702,141,137,140,764
"E","East Midlands","31","Leicestershire","31UD","Harborough",,,16370,848,365,2441,313,73,91,63,314
"E","East Midlands","31","Leicestershire","31UE","Hinckley and Bosworth",,,22493,1380,484,3186,496,96,134,104,388
"E","East Midlands","31","Leicestershire","31UG","Melton",,,9002,724,236,1644,264,53,60,50,337
"E","East Midlands","31","Leicestershire","31UH","North West Leicestershire",,,19987,1263,418,2779,614,96,106,92,550
"E","East Midlands","31","Leicestershire","31UJ","Oadby and Wigston",,,13472,764,290,2148,280,44,49,55,277
"E","East Midlands","32","Lincolnshire","32UB","Boston",,,14348,1263,198,2153,342,52,123,120,472
"E","East Midlands","32","Lincolnshire","32UC","East Lindsey",,,32267,3538,495,5278,856,164,298,308,1222
"E","East Midlands","32","Lincolnshire","32UD","Lincoln",,,19885,1535,313,2356,688,73,100,94,473
"E","East Midlands","32","Lincolnshire","32UE","North Kesteven",,,21747,1920,322,3424,645,101,204,173,656
"E","East Midlands","32","Lincolnshire","32UF","South Holland",,,19221,2017,315,2590,451,88,175,167,712
"E","East Midlands","32","Lincolnshire","32UG","South Kesteven",,,25420,2664,386,3045,828,149,200,203,728
"E","East Midlands","32","Lincolnshire","32UH","West Lindsey",,,18101,1621,291,3206,575,90,114,121,483
"E","East Midlands","34","Northamptonshire","34UB","Corby",,,12974,581,189,1185,96,86,61,67,346
"E","East Midlands","34","Northamptonshire","34UC","Daventry",,,14076,924,185,1802,300,90,93,81,372
"E","East Midlands","34","Northamptonshire","34UD","East Northamptonshire",,,16289,747,237,1721,202,92,120,126,401
"E","East Midlands","34","Northamptonshire","34UE","Kettering",,,19019,754,242,1547,140,111,112,133,589
"E","East Midlands","34","Northamptonshire","34UF","Northampton",,,43222,3041,562,4079,872,256,190,197,1334
"E","East Midlands","34","Northamptonshire","34UG","South Northamptonshire",,,14740,924,235,2113,367,97,105,112,470
"E","East Midlands","34","Northamptonshire","34UH","Wellingborough",,,16145,774,184,1556,166,99,83,113,510
"E","East Midlands","37","Nottinghamshire","37UB","Ashfield",,,28742,2641,507,3476,687,128,114,130,846
"E","East Midlands","37","Nottinghamshire","37UC","Bassetlaw",,,25429,2816,818,3214,691,106,148,165,813
"E","East Midlands","37","Nottinghamshire","37UD","Broxtowe",,,21899,1829,373,3211,617,108,133,177,679
"E","East Midlands","37","Nottinghamshire","37UE","Gedling",,,23689,1848,467,3097,679,116,171,182,696
"E","East Midlands","37","Nottinghamshire","37UF","Mansfield",,,29881,2804,473,3151,702,122,119,141,875
"E","East Midlands","37","Nottinghamshire","37UG","Newark and Sherwood",,,24993,2193,430,3135,676,115,144,156,928
"E","East Midlands","37","Nottinghamshire","37UJ","Rushcliffe",,,19177,1459,337,2881,561,98,143,150,642
"F","West Midlands",,,"00CN","Birmingham",,,225427,15904,4075,22392,7025,997,1048,1190,5192
"F","West Midlands",,,"00CQ","Coventry",,,57206,3334,690,5938,1544,235,340,381,218
